University,GPA,International Baccalaureate,SAT,ATAR,TOEFL,IELTS,ACT,GMAT,PTE Academic,GRE,Own admission test,Bachelor GPA,A-levels,Year 12 scores,Cambridge CAE Advanced,STAT,CAT
University of Jammu,,,,,,,,,,,,,,,,,
"Moscow State University of Economics, Statistics and Informatics (MESI) ",,,,,,,,,,,,,,,,,
Josai International University,,,,,,,,,,,,,,,,,
Universitas Muhammadiyah Surabaya,,,,,,,,,,,,,,,,,
Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,,,,,,,,,,,,,,,,,
Valahia University of Targoviste,,,,,,,,,,,5+,,,,,,
Louisiana State University,3+,,1360+,,79+,6+,,600+,,315+,,,,,,,
Harvey Mudd College,,,,,,,,,,,,,,,,,
University of the Sunshine Coast,,,,,,,,,,,,,,,,,
National Film School of Denmark,,,,,,,,,,,,,,,,,
Sungkyunkwan University,,,,,,,,,,,,,,,,,
Azerbaijan University of Languages,,,,,,,,,,,,,,,,,
Ho Chi Minh City Open University,,,,,,,,,,,10.7+,,,18+,,,
Washington University in St. Louis,+,,1480+,,90+,7+,,693+,,,,,,,,,
RMIT International University Vietnam,,,,,,,,,,,,,,,,,
Foreign Affairs and International Trade Canada,,,,,,,,,,,,,,,,,
Manipal University Jaipur,,,,,,,,,,,,,,,,,
"University of Illinois, Springfield (UIS)",,,,,,,,,,,,,,,,,
University of Milano-Bicocca ,,,,,,,,,,,,,,,,,
D. Serikbayev East Kazakhstan Technical University,,,,,,,,,,,,,,,,,
University of El Oued,,,,,,,,,,,,,,,,,
California Intercontinental University,,,,,,,,,,,,,,,,,
Soran University,,,,,,,,,,,,,,,,,
LABA Valencia,,,,,,,,,,,,,,,,,
Naif Arab University for Security Sciences,,,,,,,,,,,,,,,,,
Sri Lanka Institute of Information Technology (SLIIT),,,,,,,,,,,40+,,0+,,,,
Kyiv National University of Technologies and Design,,,,,,,,,,,,,,,,,
RMIT University,2+,25+,1060+,60+,79+,6.5+,21+,,,,,,,,,,
 Instituto Superior de Economia y Administración de Empresas    ,,,,,,,,,,,,,,,,,
Medical University of Vienna,,,,,,,,,,,,,,,,,
Singapore University of Technology and Design,,,,,,,,,,,,,,,,,
Universidad Autónoma de Manizales ,,,,,,,,,,,,,,,,,
Buckinghamshire New University,2+,,1100+,,,6+,,580+,,,,,,,,,
Universidade Federal do Estado do Rio de Janeiro,,,,,,,,,,,,,,,,,
Institución Universitaria Esumer,,,,,,,,,,,,,,,,,
Universidad Católica de Temuco,,,,,,,,,,,,,,,,,
National Aerospace University - Kharkiv Aviation Institute,,,,,,,,,,,,,,,,,
Scotland's Rural College (SRUC),,,,,,,,,,,,,,,,,
University of Tsukuba,,,,,,,,,,,,,,,,,
University of Houston,3+,,1080+,,79+,6+,,610+,,,,,,,,,
Golpayegan University of Technology,,,,,,,,,,,,,,,,,
Universidad Pablo de Olavide,,,,,,,,,,,,,,,,,
Hamdan Bin Mohammed Smart University (HBMSU),,,,,,,,,,,,,,,,,
I. Razzakov Kyrgyz State Technical University,110+,,,,,,,,,,,,,,,,
California Polytechnic State University,,,,,,,,,,,,,,,,,
Galgotias University,,,,,,,,,,,,,,,,,
Yong In University ,,,,,,,,,,,,,,,,,
Mid Sweden University ,,,,,,,,,,,,,,,,,
Southern Leyte State University,,,,,,,,,,,,,,,,,
American Institute of Applied Sciences in Switzerland,,,,,,,,,,,,,,,,,
Institut Mines-Télécom,,,,,,,,,,,,,,,,,
University of El Oued,,,,,,,,,,,,,,,,,
"Business School, Universidad EAFIT",,,,,,,,,,,,,,,,,
"Kazakh University of Economics, Finance and International Trade",,,,,,,,,,,,,,,,,
Universitas Muhammadiyah Prof. Dr. Hamka ,,,,,,,,,,,,,,,,,
Korea Aerospace University ,,,,,,,,,,,,,,,,,
Universidad de Ciencias y Artes de Chiapas,,,,,,,,,,,,,,,,,
Institute of Public Administration,,,,,,,,,,,,,,,,,
University of Pittsburgh-Bradford,,,,,,,,,,,,,,,,,
"Utkal University, Bhubaneswar",,,,,,,,,,,,,,,,,
Technische Universität Braunschweig,,,,,,,,,,,,,,,,,
Universidade Regional do Noroeste do Estado do Rio Grande do Sul ,,,,,,,,,,,,,,,,,
Swiss School of Business and Management (SSBM Geneva),,,,,,,,,,,,,,,,,
"Université Paris-Dauphine, Université PSL",,,,,,,,,,,,,,,,,
Universidad Publica de Navarra,,,,,,,,,,,,,,,,,
Saint Mary's College,,,,,,,,,,,,,,,,,
Simmons University,,,,,,,,,,,,,,,,,
École Nationale Supérieure des Sciences de l'Information et des Bibliothèques (ENSSIB),,,,,,,,,,,,,,,,,
University of Denver,3+,,1180+,,80+,6+,,,,307+,,,,,,,
Beijing University of Chinese Medicine,,,,,,,,,,,,,,,,,
National Sun Yat-sen University,,,,,,,,,,,,,,,,,
Кing George's Medical University,,,,,,,,,,,,,,,,,
Universidad Don Bosco,,,,,,,,,,,,,,,,,
Fachhochschule Bielefeld,,,,,,,,,,,,,,,,,
Volgograd State University,,,,,,,,,,,,,,,,,
"University of Engineering and Technology, Taxila",,,,,,,,,,,,,,,,,
Tampere University,,,,,,,,,,,,,,,,,
Wisconsin School of Business,2+,,1340+,,,,,620+,,306+,,,,,,,
University of Haifa,,,,,,,,,,,,,,,,,
"Karnatak University, Dharwad",,,,,,,,,,,,,,,,,
Tampere University of Technology ,,,,,,,,,,,,,,,,,
Case School of Law,,,,,,,,,,,,,,,,,
Sturm College of Law,,,,,,,,,,,,,,,,,
Université Tunis Carthage,,,,,,,,,,,,,,,,,
Komar University of Science and Technology,,,,,,,,,,,,,,,,,
The University of North Bengal,,,,,,,,,,,,,,,,,
Nagoya University,,,,,,,,,,,,,,,,,
University Canada West,,,,,,6+,,,,,,3+,,2+,,,
Edinboro University of Pennsylvania,,,,,,,,,,,,,,,,,
Grigol Robakidze University,,,,,,,,,,,,,,,,,
Kazakh Ablai Khan University of International Relations and World Languages,,,,,,,,,,,,,,,,,
Dongseo University ,,,,,,,,,,,,,,,,,
Southern Connecticut State University,,,,,,,,,,,,,,,,,
ESCUELA POLITECNICA NACIONAL-FACULTAD DE CIENCIAS ADMINISTRATIVAS,,,,,,,,,,,,,,,,,
Columbia Business School,3+,,,,,,,,,,,,,,,,
"Bahria University, Islamabad. Pakistan",,,,,,,,,,,,,,,,,
"University of California, Riverside, A. Gary Anderson Graduate School of Management",,,,,,,,,,,,,,,,,
Universidade Federal Fluminense ,,,,,,,,,,,,,,,,,
Tilburg School of Economics & Management,,,,,,,,,,,,,,,,,
Heller School for Social Policy and Management,,,,,,,,,,,,,,,,,
Fairleigh Dickinson University,,,,,,,,,,,,,,,,,
University of Mississippi,2+,,1070+,,70+,6+,,550+,,,,,,,,,
School of Finance,,,,,,,,,,,,,,,,,
National Technical University of Ukraine ,,,,,,,,,,,,,,,,,
Shih Chien University,,,,,,,,,,,,,,,,,
"Jesse H. Jones Graduate School of Business, Rice University",3+,,1460+,,,,,560+,,314+,,,,,,,
William Paterson University of New Jersey,,,,,,,,,,,,,,,,,
Ateneo de Davao University ,,,,,,,,,,,,,,,,,
"International Islamic University, Islamabad (IIU)",,,,,,,,,,,50+,2+,,,,,
Erciyes University,,,,,,,,,,,,,,,,,
Institut Universitaire Kurt Bösch,,,,,,,,,,,,,,,,,
Botswana College of Agriculture,,,,,,,,,,,,,,,,,
Ellis University,,,,,,,,,,,,,,,,,
Conservatorio Santa Cecilia,,,,,,,,,,,,,,,,,
University of Central Punjab,,,,,,,,,,,,,,,,,
Grenoble Ecole de Management,,,,,,,,,,,,,,,,,
Universidad Rey Juan Carlos,2.5+,27+,,,72+,5.5+,,,59+,,,,,,,,
New Design University ,,,,,,,,,,,,,,,,,
Università degli Studi di Camerino,,,,,,,,,,,,,,,,,
LIUC - Università Cattaneo,,,,,,,,,,,,,,,,,
University of Suwon ,,,,,,,,,,,,,,,,,
Novosibirsk State University,,,,,,6+,,,,,,,,,,,
University of Northern British Columbia,,,,,,,,,,,,,,,,,
University of Mobile,,,,,,,,,,,,,,,,,
Colorado School of Mines,2+,,1400+,,,,,,,,,,,,,,
Universitas Indonesia,,,,,,,,,,,,,,,,,
Trinity University,,,,,,,,,,,,,,,,,
"University of Health Sciences, Lahore",,,,,,,,,,,50+,,585+,715+,,,
University West,,,,,,,,,,,,,,,,,
Hamilton College,,,,,,,,,,,,,,,,,
The School of Economics and Business Administration,,,,,,,,,,,,,,,,,
Strathclyde Business School,,,,,,6+,,,,,,,,,,,
Philipps-Universität Marburg ,,,,,,,,,,,,,,,,,
University of Denver - Daniels College of Business,2+,,1170+,,,,,560+,,,,,,,,,
University Center César Ritz,,,,,,,,,,,,,,,,,
Indian Institute of Technology Guwahati (IITG),,,,,,,,,,,,,,,,,
Eastern Illinois University,2+,,960+,,,,,400+,,,,,,,,,
University of Houston,3+,,1080+,,79+,6+,,610+,,,,,,,,,
Pharos University in Alexandria,,,,,,,,,,,,,,,,,
Warsaw University of Life Sciences  SGGW (WULS-SGGW),,,,,,,,,,,,,,,,,
"University of California, Riverside",3+,,1110+,,80+,6+,,594+,,329+,,,,,,,
National University of Life and Environmental sciences of Ukraine,,,,,,,,,,,,,,,,,
University College of Dance,,,,,,,,,,,,,,,,,
Scotland's Rural College (SRUC),,,,,,,,,,,,,,,,,
School of Economics and Business,,,,,,,,,,,,,,,,,
The Open University Business School,,,,,,,,,,,,,,,,,
Universitas Hasanuddin,3+,,,,60+,5+,,,,,,,,,,,
609,,,,,,,,,,,,,,,,,
Université Montpellier 1,,,,,,,,,,,,,,,,,
Manipal International University,,,,,,,,,,,,2.5+,2+,,,,
Universität Osnabrück,,,,,,,,,,,,,,,,,
State Conservatory of Thessaloniki,,,,,,,,,,,,,,,,,
"Nanyang Technological University, Singapore (NTU Singapore)",,,,,,,,,,,,,,,,,
"University of California, Irvine ",,,,,,,,,,,,,,,,,
 IFM Business School,,,,,,,,,,,,,,,,,
Tulane University Law School,,,,,,,,,,,,,,,,,
The World Islamic Sciences and Education University (WISE),,,,,,,,,,,,,,,,,
Universidad Nacional de San Antonio Abad del Cusco,,,,,,,,,,,,,,,,,
"Academy of Economics, Law and Humanities",,,,,,,,,,,,,,,,,
October 6 University ( O6U ),,,,,,,,,,,,,,,,,
ESSCA School of Management,,,,,85+,6+,,,,,,,,,,,
Buein Zahra Technical University,,,,,,,,,,,,,,,,,
Universitas Muhammadiyah Sumatera Utara,,,,,475+,,,,,,500+,3+,,8+,,,
University of Minnesota Twin Cities,+,,1220+,,79+,6+,,690+,,,,,,,,,
Interregional Open Social Institute,,,,,,,,,,,,,,,,,
Universidad de Cartagena ,,,,,,,,,,,,,,,,,
"Sardar Patel University, Vallabh Vidyanagar",,,,,,,,,,,,,,,,,
Paris Lodron University of Salzburg,,,,,,,,,,,,,,,,,
Lithuanian Sports University,,,,,,,,,,,,,,,,,
Azerbaijan Medical University,,,,,,6+,,,,,,2.5+,,,,,
Sistema Universitario Ana G. Méndez (SUAGM),,,,,,,,,,,,,,,,,
INHOLLAND University,,,,,,,,,,,,,,,,,
Claremont Mckenna College,,,,,,,,,,,,,,,,,
Edith Cowan University ,3+,,1000+,58+,70+,6+,,,,,,,,,,135+,
Palestine Ahliya University,,,,,,,,,,,,0.75+,,0.65+,,,
Tabriz Islamic Art University,,,,,,,,,,,,,,,,,
National University of Defense Technology,,,,,,,,,,,,,,,,,
University of Cumbria,3+,,,,,6+,,580+,,,,,,,,,
"Sun Yat-sen Business School, S135",,,,,,,,,,,,,,,,,
Shiraz University of Technology,,,,,,,,,,,,,,,,,
Universitas Hasanuddin,3+,,,,60+,5+,,,,,,,,,,,
Western Kentucky University,,,,,,,,,,,,,,,,,
Lesya Ukrainka Volyn National University,,,,,,,,,,,,,,,,,
Porto Business School,,,,,,,,,,,,,,,,,
University of Skövde,,,,,,,,,,,,,,,,,
École Nationale Supérieure Agronomique (ENSA),,,,,,,,,,,,,,,,,
University of Lodz,,,,,,,,,,,,,,,,,
Hansung University Seoul ,,,,,,,,,,,,,,,,,
American University,3.47+,,1240+,,80+,6.5+,,580+,,306+,,,,,,,
Dubna International University,,,,,,,,,,,,,,,,,
Haigazian University,,,,,,,,,,,,,,,,,
University of Regina,,,,,,,,,,,,,,,,,
Conservatoire de Musique et d'Art Dramatique du Québec,,,,,,,,,,,,,,,,,
Université de la Nouvelle-Calédonie,,,,,,,,,,,,,,,,,
Centro Universitário Ritter dos Reis,,,,,,,,,,,,,,,,,
Massey Business School,,,,,,,,,,,,,,,,,
California State University - Fresno,,,,,,,,,,,,,,,,,
Trinity College,,,,,,,,,,,,,,,,,
Dubna International University,,,,,,,,,,,,,,,,,
Kyoto University of Education,,,,,,,,,,,,,,,,,
Kochi University of Technology (KUT),,,,,,,,,,,,,,,,,
Marbella University,,,,,,,,,,,,,,,,,
National Taiwan Ocean University,,,,,,,,,,,,,,,,,
Medizinische Hochschule Hannover,,,,,,,,,,,,,,,,,
All India Institute of Medical Sciences,,,,,,,,,,,,,,,,,
University of Basel,,,,,,,,,,,,,,,,,
Jadara University,,,,,,,,,,,,,,,,,
University of Arts George Enescu Iasi,,,,,,,,,,,,,,,,,
Aalto Executive Education Academy,,,,,,,,,,,,,,,,,
Singapore Institute of Management,2+,30+,,,79+,5+,,,42+,,,2+,,,,,
Universidad Centroamericana (UCA),,,,,,,,,,,,,,,,,
Ahfad University for Women,,,,,,,,,,,,,,,,,
Clarke University,,,,,,,,,,,,,,,,,
University of Novi Sad,,,,,,,,,,,,,,,,,
Corporación Universitaria Minuto de Dios - UNIMINUTO,,,,,,,,,,,,,,,,,
The Open University Business School,,,,,,,,,,,,,,,,,
SAL Institute of Technology & Engineering Research,,,,,,,,,,,,,,,,,
The National University of Ostroh Academy ,,,,,,,,,,,,,,,,,
Western Connecticut State University,,,,,,,,,,,,,,,,,
Universidade do Vale do Paraíba - Univap,,,,,,,,,,,,,,,,,
Royal College of Music,,,,,,,,,,,,,,,,,
"Presbyterian University College, Ghana",,,,,,,,,,,,,,,,,
Aalto University School of Business,,,,,,,,,,,,,,,,,
Université du Maine,,,,,,,,,,,,,,,,,
Université de Corse Pasquale Paoli,,,,,,,,,,,,,,,,,
Abo Akademi University,,,,,,,,,,,,,,,,,
University of Cumbria,3+,,,,,6+,,580+,,,,,,,,,
"École Nationale Supérieure d'Architecture (ENSA), Nancy",,,,,,,,,,,,,,,,,
CREA - INSEEC U.,,,,,,,,,,,,,,,,,
Cyprus University of Technology,,,,,,,,,,,,,,,,,
Yeungnam University ,,,,,,,,,,,,,,,,,
North Eastern Hill University,,,,,,,,,,,,,,,,,
Volgograd State University,,,,,,,,,,,,,,,,,
EGE UNIVERSITY,,,,,,,,,,,,,,,,,
Bakrie University,,,,,500+,5+,,,,,,,,,,,
Universita' degli Studi di Ferrara,,,,,,,,,,,,,,,,,
Princess Nourah bint Abdulrahman University,,,,,,,,,,,,,,,,,
Rabdan Academy,,,,,,,,,,,,,,,,,
University of Manitoba,3+,,,,86+,6+,,,,,,,,,,,
Gharyan University,,,,,,,,,,,,,,,,,
Norwich University,,,,,,,,,,,,,,,,,
Western Governors University Indiana,,,,,,,,,,,,,,,,,
Université d'Orléans,,,,,,,,,,,,,,,,,
Asia Pacific College,,,,,,,,,,,,,,,,,
Universidade Federal do Rio de Janeiro,,,,,,,,,,,,,,,,,
Logistics Packs,,,,,,,,,,,,,,,,,
Université Pierre et Marie Curie (UPMC),,,,,,,,,,,,,,,,,
Collegium Civitas,,,,,,,,,,,,,,,,,
The Art Institutes,,,,,,,,,,,,,,,,,
Portucalense University,,,,,,,,,,,,,,,,,
Beijing Forestry University,,,,,,,,,,,,,,,,,
University of Massachusetts Medical School - Worcester ,,,,,,,,,,,,,,,,,
Victoria University of Wellington,3+,,500+,75+,80+,6+,,,,,,,,,,,
Faculty of Economics and Business Universitas Gadjah Mada,,,,,,,,,,,,,,,,,
SAMARA STATE UNIVERSITY OF ECONOMICS,,,,,,,,,,,,,,,,,
Federal University of Technology-Parana,,,,,,,,,,,,,,,,,
Universidad Técnica de Manabí,,,,,,,,,,,,,,,,,
Universidade Estadual da Paraíba,,,,,,,,,,,,,,,,,
Royal Holloway University of London,,,,,,,,,,,,,,,,,
ISC Paris Business School,,,,,72+,6+,,,,,,,,,,,
Ostfold University College ,,,,,,,,,,,,,,,,,
JIS College of Engineering,,,,,,,,,,,,,,,,,
Warwickshire College,,,,,,,,,,,,,,,,,
RIKEN ,,,,,,,,,,,,,,,,,
Excelia,,,,,,,,,,,,,,,,,
Darmstadt University of Applied Sciences,,,,,,,,,,,,,,,,,
University Mozarteum Salzburg,,,,,,,,,,,,,,,,,
Medical University - Sofia (MU - Sofia),,,,,,,,,,,,,,,,,
University of Birmingham,2+,,1320+,,80+,6+,,,,,,,,,,,
Whittier College,,,,,,,,,,,,,,,,,
Universidad Internacional SEK,,,,,,,,,,,,,,,,,
Pontificia Universidad Catolica del Peru,2+,24+,,,,,,,,,,,,,,,
Ecole Nationale Supérieure des Sciences Appliquées et de Technologie,,,,,,,,,,,,,,,,,
Far East University,,,,,,,,,,,,,,,,,
UNIVERSITAS MEDAN AREA,,,,,,,,,,,,,,,,,
The Cyprus Institute of Marketing,,,,,,,,,,,,,,,,,
Wilfrid Laurier University,,,,,,,,,,,,,,,,,
Chungju National University,,,,,,,,,,,,,,,,,
École Nationale Supérieure des Ingénieurs en Arts Chimiques et Technologiques (ENSIACET),,,,,,,,,,,,,,,,,
École Nationale d'Ingénieurs ENISE Saint-Etienne,,,,,,,,,,,,,,,,,
Universidad de America,,,,,,,,,,,,,,,,,
University of the Algarve,,,,,,,,,,,,,,,,,
Shanghai University of International Business and Economics,,,,,,,,,,,,,,,,,
Universidade Federal de Alagoas ,,,,,,,,,,,,,,,,,
School of Finance,,,,,,,,,,,,,,,,,
Jinan University,,,,,,,,,,,,,,,,,
Arab Open University - Kuwait,,,,,,,,,,,,,,,,,
Aoyama Gakuin University,,,,,,,,,,,,,,,,,
Universidade Regional do Noroeste do Estado do Rio Grande do Sul ,,,,,,,,,,,,,,,,,
Rajamangala University of Technology Thanyaburi (RMUTT),,,,,,,,,,,,,,,,,
Universidade Federal de Santa Catarina ,,,,,,,,,,,,,,,,,
Widyagama University of Malang,,,,,,,,,,,,,,,,,
Vassar College,,,,,,,,,,,,,,,,,
D Y Patil University,,,,,,,,,,,,,,,,,
Sulaiman Al Rajhi University,,,,,,,,,,,,,,,,,
Hampton University,,,,,,,,,,,,,,,,,
Université de la Polynésie Française,,,,,,,,,,,,,,,,,
Universidad de Córdoba,,,,,,,,,,,,,,,,,
Hotel Institute Montreux,,,,,,,,,,,,,,,,,
Kazan (Volga region) Federal University,2+,24+,,,79+,6+,,,,,,,,,,,
Villanova School of Business,,,,,,,,,,,,,,,,,
London School of Jewish Studies,,,,,,,,,,,,,,,,,
University of Northern British Columbia,,,,,,,,,,,,,,,,,
Colégio Mayor de Antioquia,,,,,,,,,,,,,,,,,
"California State University, San Marcos College",,,,,,,,,,,,,,,,,
Fachhochschule Dortmund,,,,,,,,,,,,,,,,,
University of the Assumption,,,,,,,,,,,,,,,,,
Universidad de America,,,,,,,,,,,,,,,,,
School of Information Systems and Technology,,,,,,,,,,,,,,,,,
Tashkent Institute of Irrigation and Agricultural Mechanization Engineers (TIIAME)-National Research University,,,,,,,,,,,,,,,,,
Whitworth University,,,,,,,,,,,,,,,,,
Kyushu Institute of Technology ,,,,,,,,,,,,,,,,,
"Tippie School of Management, University of Iowa",,,,,,,,,,,,,,,,,
Masaryk University,,,,,,,,,,,,,,,,,
Bow Valley College,,,,,,,,,,,,,,,,,
Universidad Internacional SEK,,,,,,,,,,,,,,,,,
Escuela Superior Politecnica de Chimborazo (ESPOCH),,,,,,,,,,,0+,,,,,,
Yale University,3+,,1450+,,100+,7+,,690+,,317+,,,,,,,
University of Science & Technology Bannu,,,,,,,,,,,,,,,,,
Kyiv National University of Construction and Architecture (KNUCA),,,,,,,,,,,100+,,,,,,
Karakoram International University,,,,,,,,,,,,,,,,,
Kodolányi János University,,,,,,,,,,,,,,,,,
Principia College,,,,,,,,,,,,,,,,,
Edinburgh College of Art (ECA),,,,,,,,,,,,,,,,,
Ogarev Mordovia State University ,,,,,,,,,,,,,,,,,
Jenkins Graduate School of Management,+,,1344+,,85+,6+,,625+,,319+,,,,,,,
A'Sharqiyah University,,,,,,,,,,,,,,,,,
"KFUPM Business School, King Fahd University of Petroleum & Minerals",,,,,,,,,,,,,,,,,
MODUL University Dubai,,,,,,,,,,,,,,,,,
University of Oradea,,,,,,,,,,,,,,,,,
Universidad Alberto Hurtado,,,,,,,,,,,,,,,,,
University of Lampung,,,,,,,,,475+,,300+,,,,,,
Université de Fribourg,,,,,,,,,,,,,,,,,
Ufa University of Science and Technology (UUST),,,,,,,,,,,150+,,,,,,
Islamic University of Al Madinah,,,,,,,,,,,,,,,,,
Osaka City University,,,,,,,,,,,,,,,,,
"Hindustan Institute of Technology and Science, Chennai",,,,,,,,,,,,,,,,,
Afeka The Academic College of Engineering in Tel-Aviv,,,,,,,,,,,,,,,,,
Chang Gung University,,,,,,,,,,,,,,,,,
Postgraduate Institute of Medical Education & Research Chandigarh,,,,,,,,,,,,,,,,,
Pan-African University,,,,,,,,,,,,,,,,,
Kyoto University of Education,,,,,,,,,,,,,,,,,
China University of Mining and Technology,,,,,,,,,,,,,,,,,
Arabian Gulf University,,,,,,,,,,,,,,,,,
Nagoya University of Commerce & Business,,,,,,,,,,,,,,,,,
Universidad de las Ciencias Informáticas,,,,,,,,,,,,,,,,,
Brock University ,,,,,,,,,,,,,,,,,
"Swiss School of Management - Rome, Italy",,,,,,,,,,,,,,,,,
Polytechnic of Namibia,,,,,,,,,,,,,,,,,
Yasar University,,,,,,,,,,,,,,,,,
University of Management and Technology,,,,,,,,,,,,,,,,,
Seattle Pacific University,,,,,,,,,,,,,,,,,
University of Pittsburgh-Bradford,,,,,,,,,,,,,,,,,
University of Montenegro,,,,,,,,,,,,,,,,,
Indian Institute of Information Technology Design and Manufacturing Kancheepuram,,,,,,,,,,,,,,,,,
Le Moyne College,,,,,,,,,,,,,,,,,
Vorarlberg University of Applied Sciences ,,,,,,,,,,,,,,,,,
University of Tabuk,,,,,,,,,,,,,,,,,
Paris Lodron University of Salzburg,,,,,,,,,,,,,,,,,
Norwegian University of Life Sciences,,,,,,,,,,,,,,,,,
Institut supérieur de commerce et d'administration des entreprises  ISCAE,,,,,,,,,,,,,,,,,
Irkutsk State Transport University,,,,,,,,,,,,,,,,,
Bakrie University,,,,,500+,5+,,,,,,,,,,,
Belarusian National Technical University (BNTU),,,,,,,,,,,,,,,,,
MAS – International Sport Management and Technology,,,,,,,,,,,,,,,,,
School of Economics and Management of the University of Minho,,,,,,,,,,,,,,,,,
Berea College,,,,,,,,,,,,,,,,,
Academy of Performing Arts’ Film and TV School (FAMU),,,,,,,,,,,,,,,,,
Universiti Tun Hussein Onn  Malaysia (UTHM),,,,,,,,,,,,,,,,,
Kagawa University,,,,,,,,,,,,,,,,,
Universidad del Noreste (UNE),,,,,,,,,,,,,,,,,
"West End College, London",,,,,,,,,,,,,,,,,
Stanford Graduate School of Business,3+,,,,,,,,,,,,,,,,
NHL Stenden University of Applied Sciences,,,,,,,,,,,,,,,,,
Nosov Magnitogorsk State Technical University,,,,,,,,,,,,,,,,,
Universidade Estadual de Goiàs,,,,,,,,,,,,,,,,,
Daegu Gyeongbuk Institute of Science and Technology (DGIST),,,,,,,,,,,,,,,,,
Universidad de Nariño ,,,,,,,,,,,,,,,,,
Southwest Jiaotong University,,,,,,,,,,,,,,,,,
Université de Provence,,,,,,,,,,,,,,,,,
The University of Jember,,,,,,,,,,,,,,,,,
Central Academy of Fine Arts (CAFA),,,,,,,,,,,,,,,,,
Shimane University,,,,,,,,,,,,,,,,,
Chittagong University of Engineering and Technology,,,,,,,,,,,,,,,,,
University of Kaiserslautern-Landau(RPTU),,,,,,,,,,,,,,,,,
Imam Ja'afar Al-Sadiq University,,,,,,,,,,,,,,,,,
University of Texas at Austin,3+,,1170+,,79+,6+,,,,,,,,,,,
The University of Swabi,,,,,,,,,,,,,,,,,
University of Indianapolis,,,,,,,,,,,,,,,,,
Brescia,,,,,,,,,,,,,,,,,
Université du Maine,,,,,,,,,,,,,,,,,
Central European University,3+,33+,650+,,88+,6.5+,27+,600+,59+,,,,,,180+,,
Indian Institute of Management (IIM) - Calcutta,,,,,,,,,,,,,,,,,
Maharishi Markandeshwar (Deemed to be University),,40+,,,,,,,,,50+,4+,40+,40+,,,0+
Kumamoto University,,,,,,,,,,,,,,,,,
University of Oxford,3.3+,,1470+,98.5+,100+,7+,,,,260+,,,,,,,
University of Taipei,,,,,,,,,,,,,,,,,
Dar Al-Hekma University,,,,,,,,,,,,,,,,,
University of Leicester - School of Management,,,,,,,,,,,,,,,,,
Hubert Humphrey Institute of Public Affairs,,,,,,,,,,,,,,,,,
Windesheim University of Applied Sciences,,,,,,,,,,,,,,,,,
"Mohanlal Sukhadia University, Udaipur",,,,,,,,,,,,,,,,,
Universidad Nacional Autónoma de México  (UNAM),,,,,,,,,,,,,,,,,
Czech University of Life Sciences in Prague,,,,,,,,,,,,,,,,,
Naval Postgraduate School,,,,,,,,,,,,,,,,,
Gaziantep University,,,,,,,,,,,,,,,,,
École Navale,,,,,,,,,,,,,,,,,
Pontificia Universidad Católica Madre y Maestra (PUCMM),,,,,,,,,,,,,,,,,
University of Southern Cailfornia,,,,,,,,,,,,,,,,,
Vilnius Academy of Fine Art,,,,,,,,,,,,,,,,,
Yuan Ze University,,,,,,,,,,,,,,,,,
Eszterhazy Karoly Catholic University,4.5+,,,,46+,5.5+,,,,,4+,4.5+,,4.5+,,,
Universita' degli Studi di Ferrara,,,,,,,,,,,,,,,,,
Polytechnic University of Tirana,,,,,,,,,,,,,,6+,,,
University of Calcutta,,,,,,,,,,,50+,,,45+,,,
Huazhong Agricultural University,,,,,,,,,,,,,,,,,
"School of Management, Swansea University",,,,,,,,,,,,,,,,,
School of Management,,,,,,,,,,,,,,,,,
Universite Catholique de Lille,,,,,80+,6+,,,54+,,,,,,,,
Gustave Eiffel University,,,,,,,,,,,,,,,,,
CUNY Queens College,,,,,,,,,,,,,,,,,
"University of California, Davis",3+,,1260+,,80+,7+,,620+,,,,,,,,,
School of Politics and International Relations,,,,,,,,,,,,,,,,,
Oldham College,,,,,,,,,,,,,,,,,
Azzaytuna University,,,,,,,,,,,,,,,,,
Indian Institute of Technology Bhubaneswar,,,,,,,,,,,,,,,,,
University of Phoenix,,,,,,,,,,,,,,,,,
Renmin (People's) University of China,,,,,,,,,,,,,,,,,
Jeonbuk National University,,,,,,,,,,,,,,,,,
EVTEK University of Applied Sciences,,,,,,,,,,,,,,,,,
University of St. Cyril and Methodius in Trnava,,,,,,,,,,,,,,,,,
Korea University,,,,,,,,,,,,,,,,,
Oles Honchar Dnipro National University,,,,,,,,,,,,,,,,,
Muscat college,,,,,,,,,,,,,,,,,
HEC Paris Executive MBA,,,,,,,,,,,,,,,,,
Kyoto University,,,,,,,,,,,,,,,,,
University of the Virgin Islands,,,,,,,,,,,,,,,,,
"Royal Academy of Music, Aarhus",,,,,,,,,,,,,,,,,
Universidad de Zaragoza,,,,,,,,,,,,,,,,,
Richmond American University London,,,,,,,,,,,,,,,,,
Universidad Politécnica de Madrid (UPM),,,,,,,,,,,,,,,,,
Universidade Presbiteriana Mackenzie,,,,,,,,,,,,,,,,,
University of Aveiro,,,,,,,,,,,,,,,,,
Hamdan Bin Mohammed Smart University (HBMSU),,,,,,,,,,,,,,,,,
IFP School,,,,,,,,,,,,,,,,,
West Texas A&M University,,,,,,,,,,,,,,,,,
University of Carthage,,,,,,,,,,,,,,,,,
Yamagata University ,,,,,,,,,,,,,,,,,
