University,GMAT,GPA,SAT,Own admission test,Year 12 scores,IELTS,TOEFL,GRE,ATAR,PTE Academic,Cambridge CAE Advanced,Bachelor GPA,International Baccalaureate,CAT,LSAT,A-levels,ACT
University of Sargodha,,,,,,,,,,,,3+,,,,45+,
Sri Sri University,,,,40+,,,,,,,,,,,,,
WHU - Otto Beisheim School of Management ,,,,,,7+,95+,,,,,,,,,,
University of Phoenix,,,,,,,,,,,,,,,,,
Josai University ,,,,,,,,,,,,,,,,,
Universidad Mariano Gálvez (UMG),,,,,,,,,,,,,,,,,
University at Buffalo SUNY,,+,1180+,,,6+,79+,,,,,,,,,,
LCC International University,,,,,,,,,,,,,,,,,
Angeles University Foundation,,,,,,,,,,,,,,,,,
OU Business School,,,,,,,,,,,,,,,,,
UCL Global Business School for Health,,,,,,,,,,,,,,,,,
Washington & Jefferson College,,,,,,,,,,,,,,,,,
Payame Noor University,,,,,,,,,,,,,,,,,
Cukurova University,,,,,,,,,,,,,,,,,
Kozminski University,,,,,,,,,,,,,,,,,
Athens University of Economics and Business,,,,,,,,,,,,,,,,,
Almaty University of Power Engineering and Telecommunications,,,,,,,,,,,,,,,,,
Gulf University,,,,,,,,,,,,,,,,,
University of Bayreuth,,,,,,,,,,,,,,,,,
Erasmus School of Economics,,,,,,,,,,,,,,,,,
"Sup De Co, Amiens, Picardie",,,,,,,,,,,,,,,,,
"HEC Management School, University of Liege",,,,,,6+,,,,,,,,,,,
Southwest University,,,,,,,,,,,,,,,,,
Universidade do Estado da Bahia ,,,,,,,,,,,,,,,,,
Universidad Industrial de Santander - UIS,,,,,,,,,,,,,,,,,
Lynchburg College,,,,,,,,,,,,,,,,,
Northern Caribbean University,,,,,,,,,,,,,,,,,
Kadir Has University,,,,,,,,,,,,,,,,,
New York University (NYU),660+,3+,1290+,,,7+,100+,,,,,,,,,,
Universitas Tanjungpura,,,,,,,,,,,,,,,,,
ESIEE Amiens,,,,,,,,,,,,,,,,,
Saint-Petersburg State Institute of Technology (Technical University) ,,,,,,,,,,,,,,,,,
Universiti Malaysia Perlis,,,,,,,,,,,,,,,,,
Chinese Culture University,,,,,,,,,,,,,,,,,
Lahore School of Economics,,,,,,,,,,,,,,,,,
Suwon University ,,,,,,,,,,,,,,,,,
"Arab Academy for Science, Technology and Maritime Transport (AASTMT)  ",,,,,,,,,,,,,,,,,
Pontifícia Universidade Católica do Paraná,,,,,,,,,,,,,,,,,
Guangxi University,,,,,,,,,,,,,,,,,
Universidad Alberto Hurtado,,,,,,,,,,,,,,,,,
Université Pierre Mendès France - Grenoble 2,,,,,,,,,,,,,,,,,
Ben-Gurion University of The Negev,,,,,,,,,,,,,,,,,
Polytechnic University of the Philippines ,,,,,,,,,,,,,,,,,
Alfateh University,,,,,,,,,,,,,,,,,
MDI Gurgaon,,,,,,,,,,,,,,,,,
"Griffith College, Dublin",,,,,,,,,,,,,,,,,
University of Sri Jayawardenapura ,,,,,,,,,,,,,,,,,
DATA SCIENCE FOR BUSINESS X – HEC,,,,,,,,,,,,,,,,,
Pondicherry University,,,,,,,,,,,,,,,,,
Eszterhazy Karoly Catholic University,,4.5+,,4+,4.5+,5.5+,46+,,,,,4.5+,,,,,
Universidad Tecnológica de Honduras (UTH),,,,,,,,,,,,,,,,,
Dalian Maritime University,,,,,,,,,,,,,,,,,
The Norwegian Film School (NFS),,,,,,,,,,,,,,,,,
Juniata College,,,,,,,,,,,,,,,,,
Volga state academy of water transport,,,,,,,,,,,,,,,,,
UCL School of Management,,,,,,,,,,,,,,,,,
The Josip Juraj Strossmayer University of Osijek,,,,,,,,,,,,,,,,,
School of Design and Crafts,,,,,,,,,,,,,,,,,
Australian Catholic University - School of Business,,,,,,,,,,,,,,,,,
"Faculty Of Health Sciences, Western University",,,,,,6.5+,105+,,,,,,,,,,
Jinan University (China),,,,,,,,,,,,,,,,,
Liaoning University,,,,,,,,,,,,,,,,,
Palestine Ahliya University,,,,,0.65+,,,,,,,0.75+,,,,,
Ecole Nationale Supérieure des Sciences Appliquées et de Technologie,,,,,,,,,,,,,,,,,
Universidad Central de Bayamón (UCB),,,,,,,,,,,,,,,,,
School of Engineering & Applied Science,,,,,,,,,,,,,,,,,
"École Supérieure de Commerce, ESC Pau",,,,,,,,,,,,,,,,,
New York Institute of Technology - Vancouver,,,,,,,,,,,,,,,,,
Van Hien University,,,,,,,,,,,,,,,,,
"Moscow State University of Economics, Statistics and Informatics (MESI) ",,,,,,,,,,,,,,,,,
SUNY Old Westbury,,,,,,,,,,,,,,,,,
Namangan Engineering-Construction Institute,,,,57+,,5+,,,,,,,,,,,
Université de Valenciennes et du Hainaut-Cambrésis ,,,,,,,,,,,,,,,,,
Universit internationale de Rabat,,,,14+,,,,,,,,,,,,,
Vorarlberg University of Applied Sciences ,,,,,,,,,,,,,,,,,
University of Poonch Rawalakot (UPR),,2+,,50+,495+,,,,,,,2.5+,,,,,
Ural State Law University,,,,,,,,,,,,,,,,,
Norwegian University of Life Sciences,,,,,,,,,,,,,,,,,
Sveučilište u Mostaru,,,,,,,,,,,,,,,,,
Mirpur University of Science and Technology (MUST),,,,,,,,,,,,,,,,,
New Bulgarian University,,,,,,,,,,,,,,,,,
Office for General Enquiry,,,,,,,,,,,,,,,,,
Rutgers University–New Brunswick,,,550+,,,6+,79+,,,,,,,,,,21+
University of Dayton,,,,,,,,,,,,,,,,,
Tongmyung University of Information Technology ,,,,,,,,,,,,,,,,,
National Institute of Technology Rourkela,,,,,,,,,,,,,,,,,
HTMi Hotel and Tourism Management Institute Switzerland,,,,,,,,,,,,,,,,,
Wroclaw University of Economics ,,,,,,,,,,,,,,,,,
King Khalid University,,,,,,,,,,,,,,,,,
Fundesem Business School,,,,,,,,,,,,,,,,,
Volgograd State Medical University,,,,,,,,,,,,,,,,,
Saba University School of Medicine,,2+,,,,,90+,,,,,,,,,,
NED University of Engineering and Technology,,,,,,,,,,,,,,,,,
Moscow State Linguistic University,,,,,,,,,,,,,,,,,
Mahidol University,,,,,,,,,,,,,,,,,
Yury Gagarin State Technical University of Saratov,,,,,,,,,,,,,,,,,
O.P. Jindal Global University,450+,2+,1100+,0+,50+,6+,80+,295+,,,,,24+,0+,0+,,27+
Pharos University in Alexandria,,,,,,,,,,,,,,,,,
Universidade Federal de Uberlândia,,,,,,,,,,,,,,,,,
Silk Road International University of Tourism and Cultural Heritage,,,,46+,,,,,,,,,,,,,
Rice University,660+,3+,1460+,,,7+,100+,,,,,,,,,,
Universitas Mercu Buana,,,,450+,,,450+,,,,,3+,,,,,
Euromed Management,,,,,,,,,,,,,,,,,
Swiss Institute for Management and Hospitality (SWISS IM&H),,,,,,,,,,,,,,,,,
Preston University Kohat,,,,,,,,,,,,,,,,,
ESIC Business & Marketing School,,,,,,5.5+,72+,,,,160+,,,,,,
SIMAD University,,,,,,,,,,,,,,,,,
Deusto Business School,,,,,,,,,,,,,,,,,
The University of Tampa,,,,,,,,,,,,,,,,,
Ahmedabad University,,,,,,,,,,,,,,,,,
Universidad Centroamericana (UCA),,,,,,,,,,,,,,,,,
School of Information Systems and Technology,,,,,,,,,,,,,,,,,
University of Alabama at Birmingham ,,,,,,,,,,,,,,,,,
University of Information Technology and Communications,,,,,,,,,,,,,,,,,
Plekhanov Russian University of Economics,,,,,,6+,,,,,,,,,,,
Harvard University,610+,3+,1470+,,,,80+,298+,,,,,,,,,
CMC Graduate School of Business,,,,,,,,,,,,,,,,,
University of Guelph,,3+,1100+,,,6+,89+,,,,,,,,,,
University of Hafr Albatin,,,,,,,,,,,,2+,,,,,
National University of Uzbekistan named after Mirzo Ulugbek,,,,120+,,,,,,,,,,,,,
Department of Public Relations,,,,,,,,,,,,,,,,,
Sebha University,,,,,,,,,,,,50+,,,,,
Karabuk University,,,,,,,,,,,,,,,,,
Universidad Católica ,,,,,,,,,,,,,,,,,
Deen Dayal Upadhyay Gorakhpur University,,,,,,,,,,,,,,,,,
Campbellsville University,,,,,,,,,,,,,,,,,
University of South Florida - Muma College of Business,570+,3+,,,,,79+,,,,,,,,,,
Caucasus International University,,,,,,6.5+,9+,,,,,,,,,,
Saint Petersburg State Pediatric Medical University,,,,,,,,,,,,,,,,,
RWTH Business School,,,,,,,,,,,,,,,,,
"University of Agriculture, Faisalabad ",,,,,,,,,,,,,,,,,
Stuart School of Business,,,,,,,,,,,,,,,,,
Ventspils University of Applied Sciences,,,,,,,,,,,,,,,,,
Gulf College,,,,,,,,,,,,,,,,,
Florida Atlantic University - Boca Raton,,,,,,,,,,,,,,,,,
The National Research University ,,,,,,,,,,,,,,,,,
Universitas Dian Nuswantoro,,,,,,,,,,,,,,,,,
Soran University,,,,,,,,,,,,,,,,,
Southwest Jiaotong University,,,,,,,,,,,,,,,,,
Cagayan State University,,,,,,,,,,,,,,,,,
University of Toledo,,2+,830+,,,6+,71+,,,,,,,,,,
New York University (NYU),660+,3+,1290+,,,7+,100+,,,,,,,,,,
NJSC KIMEP University,,,,,,,,,,,,,,,,,
Pavlodar Pedagogical University,,,,,,,,,,,,,,,,,
Royal Holloway University of London School of Business and Management,,2.8+,1270+,,,6.5+,80+,,,,,,,,,,
Instituto Nacional de Matemática Pura e Aplicada (IMPA),,,,,,,,,,,,,,,,,
Modul University Vienna,,,,,,,,,,,,,,,,,
Vidyavardhaka College of Engineering (VVCE),,,,,,,,,,,,,,,,,
University of Silesia in Katowice,,,,,,,,,,,,,24+,,,,
University of Pardubice,,,,,,,,,,,,,,,,,
Vijay Patil School of Management,,,,,,,,,,,,,,,,,
Craven College,,,,,,,,,,,,,,,,,
Florida Polytechnic University,,,,,,,,,,,,,,,,,
EM Strasbourg Business School,,,,,,,,,,,,,,,,,
Regis University,,,,,,,,,,,,,,,,,
University of Jyväskylä,,,,,,,,,,,,,,,,,
Université Pierre-Mendès-France,,,,,,,,,,,,,,,,,
Universitat de Girona,,,,,,,,,,,,,,,,,
Université de Caen Normandie,,,,,,,,,,,,,,,,,
Technical University of Lublin,,,,,,,,,,,,,,,,,
"Blekinge Institute of Technology, BTH ",,,,,,,,,,,,,,,,,
Universidad Fidélitas,,,,,,,,,,,,,,,,,
EAE Business School,,,,,,6+,72+,,,,,,,,,,
Dubai Pharmacy College,,,,,,,,,,,,,,,,,
Universidad Juan Misael Saracho,,,,,,,,,,,,,,,,,
Key West University,,,,,,,,,,,,,,,,,
Escuela Politécnica Nacional,,,,,,,,,,,,,,,,,
"University of Antwerp, Management School",,,,,,,,,,,,,,,,,
Free University of Tbilisi,,,,,,,,,,,,,,,,,
Manipal University Jaipur,,,,,,,,,,,,,,,,,
Polytechnic University,,,,,,,,,,,,,,,,,
Beihang University (former BUAA),,,,,,,,,,,,,,,,,
St. Thomas University,,2+,,,,6+,89+,,,,,,,,,,
Shih Chien University,,,,,,,,,,,,,,,,,
Norwich University,,,,,,,,,,,,,,,,,
Universidade Federal do Rio Grande Do Norte,,,,,,,,,,,,,,,,,
Lancaster University Management School,601+,3.2+,1320+,,,6.5+,93+,,90+,,,,,,,,
University Mohamed Boudiaf of M'Sila,,,,,,,,,,,,,,,,,
Hochschule Augsburg,,,,,,,,,,,,,,,,,
Universidade Federal do Ceará (UFC),,,,,,,,,,,,,,,,,
Norwegian University of Science And Technology,,,,,,,,,,,,,,,,,
Universitas Negeri Makassar,,,,,,,,,,,,,,,,,
"University of Agriculture, Faisalabad ",,,,,,,,,,,,,,,,,
Fundação Universidade Federal do Vale do São Francisco ,,,,,,,,,,,,,,,,,
Universidad de Málaga,,,,,,,,,,,,,,,,,
City University (Malaysia),,2+,,,,,,,,,,2+,,,,,
"Monash University, Indonesia campus",,,,,,6.5+,79+,,,58+,,2.7+,,,,,
Baylor University,612+,3+,1140+,,,6+,76+,,,,,,,,,,
Hunan Normal University,,3+,,,,6+,90+,,,,,,,,,,
Guildford College,,,,,,,,,,,,,,,,,
TELECOM École de Management,,,,,,,,,,,,,12+,,,,
Taylor Institute at Franklin Switzerland,,,,,,,,,,,,,,,,,
Shanghai University of Finance and Economics,,,,,,,,,,,,,,,,,
Dongduk Women's University,,,,,,,,,,,,,,,,,
Institut Universitaire Kurt Bösch,,,,,,,,,,,,,,,,,
Alagappa Univeristy,,,,,,,,,,,,,,,,,
Munich Business School,600+,,,,,6.5+,85+,,,,,,,,,,
University of Buraimi,,,,,70+,,5+,,,,,2+,,,,,
Jordan University of Science & Technology,,,,,,,,,,,,,,,,,
McGill University,675+,3+,1460+,,,6+,79+,321+,,65+,193+,,41+,,,,33+
SGH Warsaw School of Economics,,,,,,,,,,,,,,,,,
University of Ain Temouchent,,,,10+,,,,,,,,,10+,,,,
Pacifico Business School,,,,,,,,,,,,,,,,,
Conservatoire de Musique et d'Art Dramatique du Québec,,,,,,,,,,,,,,,,,
Universidad de Manizales ,,,,,,,,,,,,,,,,,
Corporación Universitaria Minuto de Dios - UNIMINUTO,,,,,,,,,,,,,,,,,
Kobe University,,,,,,,,,,,,,,,,,
Кing George's Medical University,,,,,,,,,,,,,,,,,
Rikkyo University,,,,,,,,,,,,,,,,,
"The University of Agriculture, Peshawar",,2+,,,,,,,,,,,,,,,
International University of Africa,,,,,,,,,,,,,,,,,
"Universit de Haute-Alsace, Mulhouse Colmar",,,,,,,,,,,,,,,,,
Peter F. Drucker Graduate School,,,,,,,,,,,,,,,,,
Azerbaijan State University of Economics,,,,,,,,,,,,,,,,,
Kyambogo University,,,,,,,,,,,,,,,,,
PSG College of Technology,,,,,,,,,,,,,,,,,
Inner Mongolia University,,,,,,,,,,,,,,,,,
Durham University,600+,3+,1300+,,,6.5+,92+,,89+,,,,,,,,
Dominican University,,,,,,,,,,,,,,,,,
National University Sudan,,,,,65+,,,,,,,,,,,,
Kazakh-Russian International University,,,,,,,,,,,,,,,,,
Jubail University College,,,,,,,,,,,,,,,,,
Nour Bachir University Center of El Bayadh,,,,,,,,,,,,,,,,,
Mahidol University,,,,,,,,,,,,,,,,,
Aichi Gakuin Unversity,,,,,,,,,,,,,,,,,
American University of Kuwait,,,,,,,,,,,,,,,,,
"University of California, Irvine",642+,3+,1195+,,,6+,80+,,,,,,,,,,
"Faculty of Health, Medicine and Life Sciences",,,,,,,,,,,,,,,,,
Ravensbourne,,3+,+,,,5+,72+,,,,,,,,,,
Western Governors University Indiana,,,,,,,,,,,,,,,,,
Design Academy Eindhoven,,,,,,,,,,,,,,,,,
University of Lucknow,,,,30+,,,,,,,,,,,,,
UTS Business School,,,,,,,,,,,,,,,,,
Arab Academy for Banking and Financial Sciences,,,,,,,,,,,,,,,,,
Universidad de Ciencias y Artes de Chiapas,,,,,,,,,,,,,,,,,
University of Information Technology and Communications,,,,,,,,,,,,,,,,,
Al-Farabi University College,,,,,,,,,,,,,,,,,
Vitebsk State Medical University,,,,,,,,,,,,,,,,,
Graduate School of Economics and Management,,,,,,,,,,,,,,,,,
Jönköping International Business School,,,,,,,,,,,,,,,,,
"ITESO, Universidad Jesuita de Guadalajara",,,,1000+,,,,,,,,,,,,,
Lebanese American University,,,,,,,,,,,,,,,,,
Universidad Catolica de Manizales,,,,,,,,,,,,,,,,,
Tchaikovsky National Academy of Music (Kiev Conservatory),,,,,,,,,,,,,,,,,
Riga Stradins University,,,,,,,,,,,,,,,,,
Kharkiv National University of Radio Electronics,,,,,,,,,,,,,,,,,
California State Polytechnic University - Pomona,,,,,,,,,,,,,,,,,
Universidad del Valle,,,,,,,,,,,,,,,,,
Elmira College,,,,,,,,,,,,,,,,,
Alderson-Broaddus College,,,,,,,,,,,,,,,,,
Beijing Union University,,,,,,,,,,,,,,,,,
Taiyuan University of Technology,,,,,,,,,,,,,,,,,
"Universidad de Diseño, Innovación y Tecnología",,,,,,,,,,,,,,,,,
Future University Hakodate,,,,,,,,,,,,,,,,,
University of International Business and Economics,,,,,,,,,,,,,,,,,
The Russian Foreign Trade Academy of the Ministry for Economic Development of the Russian Federation,,,,,,,,,,,,,,,,,
University of Nottingham Malaysia,,,,,,,,,,,,,,,,,
"ENSCCF, Chimie Clermont-Ferrand",,,,,,,,,,,,,,,,,
Azerbaijan State University of Culture and Arts,,,,250+,,,,,,,,,,,,,
Associação Escola Superior de Propaganda e Marketing (ESPM),,,,,,,,,,,,,,,,,
Instituto Tecnológico Metropolitano - ITM ,,,,,,,,,,,,,,,,,
INSEEC Business School,,,,,,,,,,,,,,,,,
Vinnytsia National Pirogov Memorial Medical University,,,,,,,,,,,,,,,,,
Ecole d'ingénieurs de Purpan,,,,,,,,,,,,,,,,,
Université Mohammed V de Rabat,,,,,,,,,,,,,,,,,
École Nationale Supérieure de Physique de Strasbourg (ENSPS),,,,,,,,,,,,,,,,,
University of the Virgin Islands,,,,,,,,,,,,,,,,,
Universita' degli Studi Suor Orsola Benincasa,,,,,,,,,,,,,,,,,
"University of Antwerp, Management School",,,,,,,,,,,,,,,,,
Wittenborg University of Applied Sciences,,,,,,,,,,,,,,,,,
Universidade Católica de Moçambique (Catholic University of Mozambique),,,,,,,,,,,,,,,,,
Tias Business School,550+,3+,,,,6+,90+,,,,,,,,,,
University of Tripoli,,,,,,,,,,,,,,,,,
IUBATInternational University of Business Agriculture and Technology,,2+,,,,,,,,,,,,,,,
Hallym University ,,,,,,,,,,,,,,,,,
"Fashion Design Institut (Düsseldorf, Germany)",,,,,,,,,,,,,,,,,
University of Nova Gorica,,,,,,,,,,,,,,,,,
Department of Electrical Engineering,,,,,,,,,,,,,,,,,
University of Windsor,,,,,,6+,83+,,,,,,,,,,
"Institut d'Optique, ParisTech",,,,,,,,,,,,,,,,,
University of Cagliari,,,,,,,,,,,,,,,,,
Odessa I.I.Mechnikov National University,,,,,,,,,,,,,,,,,
Hue University,,,,,,,,,,,,,,,,,
"Indian Statistical Institute, Kolkata",,,,,,,,,,,,,,,,,
Universita' degli Studi ,,,,,,,,,,,,,,,,,
Victoria University ,550+,2+,1270+,,,6+,79+,,70+,,,,,,,,
Northern (Arctic) Federal University named after M.V. Lomonosov,,,,,,,,,,,,,,,,,
University of Oradea,,,,,,,,,,,,,,,,,
University of Technology - Iraq,,,,,,,,,,,,,,,,,
Alzaiem Alazhari University,,,,,,,,,,,,,,,,,
Universitas Amikom Yogyakarta,,,,,,,,,,,,,,,,,
Haliç Üniversitesi,,,,,,,,,,,,,,,,,
Kwantlen Polytechnic University,,,,,,6+,88+,,,,,,,,,,
Hebron University,,,,,,,,,,,,,,,,,
Ho Chi Minh City Open University,,,,10.7+,18+,,,,,,,,,,,,
The American Business School of Paris,,,,,,,,,,,,,,,,,
Beijing Institute of Fashion Technology,,,,,,,,,,,,,,,,,
École Normale Supérieure Cheikh Mohamed Bachir el Ibrahimi – Kouba,,,,,,,,,,,,,,,,,
Universiti Pendidikan Sultan Idris (UPSI),,,,,,,,,,,,,,,,,
Universidad Autónoma del Carmen (UNACAR),,,,,,,,,,,,,,,,,
"ITESO, Universidad Jesuita de Guadalajara",,,,1000+,,,,,,,,,,,,,
Victoria Graduate School of Business,,,,,,,,,,,,,,,,,
Kadir Has University,,,,,,,,,,,,,,,,,
State institution “South Ukrainian National Pedagogical University named after K. D. Ushynsky” (Ushynsky University),,,,,,,,,,,,100+,,,,100+,
University of Akron,,,,,,,,,,,,,,,,,
Gujarat National Law University ,,,,,,,,,,,,,,,,,
Universidade de Ribeirão Preto,,,,,,,,,,,,,,,,,
Universiti Teknologi Brunei,,,,,,,,,,,,,,,,180+,
Aden University,,,,,,,,,,,,,,,,,
Pontificia Universidad Javeriana,,,,,,,,,,,,,,,,,
University of Dubrovnik,,,,,,,,,,,,,,,,,
Bradford College,,3+,1070+,,,6+,,,,,,,,,,,
Amsterdam Business School,630+,7+,,,,6+,92+,,85+,,,,,,,,
609,,,,,,,,,,,,,,,,,
Macalester College,,,,,,,,,,,,,,,,,
Universidad Autónoma de Guadalajara (UAG),,,,,,,,,,,,,,,,,
Technische Universität Wien,,,,,,,,,,,,,,,,,
Fachhochschule Ostschweiz,,,,,,,,,,,,,,,,,
Applied Science Private University - Jordan,,2.5+,,,,5+,59+,,,,,2.7+,27+,,,,
Islamic University of Lebanon,,,,,,,,,,,,,,,,,
Harper Adams University,,,,,,6+,80+,,,,,,,,,,
School of Finance,,,,,,,,,,,,,,,,,
Institut national des langues et civilisations orientales,,,,10+,,,,,,,,,25+,,,,
"Leeds Business School, Leeds Beckett University",,,,,,,,,,,,,,,,,
Augustana College (Illinois),,,,,,,,,,,,,,,,,
Tashkent State Dental Institute,,,,,,,,,,,,,,,,,
Tsuda College,,,,,,,,,,,,,,,,,
Teachers' College,,,,,,,,,,,,,,,,,
Tony Parker Adéquat Academy,,,,,,,,,,,,,,,,,
Universidade Salvador (UNIFACS),,,,,,,,,,,,,,,,,
HAN University of Applied Sciences,,,,,,,,,,,,,,,,,
American Graduate School in Paris,,,,,,,,,,,,,,,,,
"ICMA Centre, Henley Business School",,,,,,,,,,,,,,,,,
Hartford Management Centre,,,,,,,,,,,,,,,,,
Jagdish Sheth School of Management (JAGSOM),,,,,,,,,,,,,,,,,
MDI Gurgaon,,,,,,,,,,,,,,,,,
Hochschule für Musik und Tanz Köln,,,,,,,,,,,,,,,,,
Erasmus University Rotterdam ,640+,3+,1170+,,,7+,100+,300+,86+,,185+,,30+,,,,27+
University of Warsaw,,,,,,,,,,,,,,,,,
Ho Chi Minh City University of Technology and Education,,,,,,,,,,,,,,,,,
Oslo School of Architecture,,,,,,,,,,,,,,,,,
Haute Ecole d'art et de design de Genève (HEAD),,,,,,,,,,,,,,,,,
The University of Arizona,665+,3+,1260+,,,6+,70+,,,,,,,,,,
Kaohsiung Medical University,,,,,,,,,,,,,,,,,
Augsburg University,,,,,,,,,,,,,,,,,
Ferris State University,,,,,,,,,,,,,,,,,
Manchester School of Architecture,,,,,,,,,,,,,,,,,
Sangmyung University ,,,,,,,,,,,,,,,,,
Qatar University,,,,,,,,,,,,,,,,,
Kastamonu University,,,,,,,,,,,,,,,,,
Rectorate,,,,,,,,,,,,,,,,,
Bangabandhu Sheikh Mujibur Rahman Agricultural University,,2.5+,,,,,,,,,,,,,,,
"University of California, Irvine",642+,3+,1195+,,,6+,80+,,,,,,,,,,
Florida Polytechnic University,,,,,,,,,,,,,,,,,
Vesalius College,,,,,,,,,,,,,,,,,
"Universidad de Diseño, Innovación y Tecnología",,,,,,,,,,,,,,,,,
Indian Institute of Technology Gandhinagar (IITGN),,,,,,,,,,,,,,,,,
Himachal Pradesh University,,,,,,,,,,,,,,,,,
Luiss Business School,,,,,,,,,,,,,,,,,
Royal Holloway University of London School of Business and Management,,2.8+,1270+,,,6.5+,80+,,,,,,,,,,
Tabriz Islamic Art University,,,,,,,,,,,,,,,,,
European University Institute,,,,,,,,,,,,,,,,,
CENTRO,,,,,,6+,,,,,,3+,30+,,,,
Senghor University ,,,,,,,,,,,,,,,,,
University of the West of Scotland,580+,3+,1100+,,,6+,78+,,,,,,,,,,
October 6 University ( O6U ),,,,,,,,,,,,,,,,,
HeFei University of Technology,,,,,,,,,,,,,,,,,
Technical University of Kosice,,,,,,,,,,,,,,,,,
University of Southern Cailfornia,,,,,,,,,,,,,,,,,
Innopolis University ,,,,,,,,,,,,,,,,,
Universidad del Pacífico - Ecuador,,,,,,,,,,,,,,,,,
School of Law,,,,,,,,,,,,,,,,,
University of Illinois at Chicago Liautaud,,3+,,,,6+,80+,,,,,,,,,,
Wichita State University,,,,,,,,,,,,,,,,,
Questrom School of Business,710+,3.5+,1438+,,,6.5+,90+,336+,,,,,,,,,33+
Alexandru Ioan Cuza University,,,,,,,,,,,,,,,,,
"University of Education, Lahore",,,,60+,495+,,,,,,,2.5+,,,,,
Stanford Graduate School of Business,,3+,,,,,,,,,,,,,,,
Istanbul Aydin University  ,,,,,,,,,,,,,,,,,
The University of Tampa,,,,,,,,,,,,,,,,,
Nantes Université,,,,,,,,,,,,,,,,,
Instituto Tecnológico de Hermosillo,,,,,,,,,,,,,,,,,
"Aarhus University, School of Business and Social Sciences",,,,,,,,,,,,,,,,,
Glasgow Caledonian University,,,,,,,,,,,,,,,,,
Earlham College,,,,,,,,,,,,,,,,,
Universidad de los Llanos,,,,,,,,,,,,,,,,,
Constantin Brâncuși University,,,,,,,,,,,,,,,,,
Conservatoire for Dance and Drama (CDD),,,,,,,,,,,,,,,,,
Ogarev Mordovia State University ,,,,,,,,,,,,,,,,,
University of Johannesburg,,,,,,,,,,,,,,,,,
Institut Catholique de Toulouse (ICT),,,,,,,,,,,,,,,,,
Mahatma Jyotiba Phule Rohilakhand University,,,,,55+,,,,,,,55+,,55+,,,
Saint Mary's College of California,,,,,,,,,,,,,,,,,
Professional School of Business & Technology | University of Applied Sciences,,,,,,,,,,,,,,,,,
Blackburn College,,,,,,,,,,,,,,,,,
Ivanovo State Power Engineering University named after V.I. Lenin (ISPU),,,,,,,,,,,,,,,,,
Technische Universität Ilmenau,,,,,,,,,,,,,,,,,
Hochschule fr Musik und Theater Felix Mendelssohn Bartholdy Leipzig,,,,,,,,,,,,,,,,,
Istanbul Ticaret Universitesi (Istanbul Commerce University),,,,,,,,,,,,,,,,,
Oglethorpe University,,,,,,,,,,,,,,,,,
POLIMODA,,,,,,,,,,,,,,,,,
Union Institute and University,,,,,,,,,,,,,,,,,
Universidad Nacional de Colombia,,,,,,,,,,,,,,,,,
Princeton University,,3+,1460+,,,7+,100+,260+,,,,,,,,,
Universidade Federal do ABC,,,,,,,,,,,,,,,,,
EPOKA University,,,,,,,,,,,,,,,,,
Auburn University,,,,,,,,,,,,,,,,,
Institut Mines-Télécom,,,,,,,,,,,,,,,,,
Armavir State Pedagogical University,,,,,,,,,,,,,,,,,
Wright Graduate University,,,,,,,,,,,,,,,,,
Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,,,,,,,,,,,,,,,,,
Indus Institute of Higher Education,,,,,,,,,,,,,,,,,
University of Botswana,,,,,,,,,,,,,,,,,
Government College University Lahore,,,,,500+,,,,,,,,,,,1+,
University of Information Technology and Management in Rzeszow,,,,,,,,,,,,,,,,,
Universität Augsburg,,,,,,,,,,,,,,,,,
Business School del Sole 24 ORE,,,,,,,,,,,,,,,,,
Tashkent Institute of Architecture and CIvil Engineering,,,,,,,,,,,,,,,,,
Aswan University,,,,,,,,,,,,,,,,,
Universitas Negeri Surabaya,,,,,,,,,,,,,,,,,
University of Tlemcen,,,,,,,,,,,,,,,,,
William & Mary,620+,3+,1310+,,,7+,100+,,,,,,,,,,
Universidad de Piura,,,,,,,,,,,,,,,,,
Université catholique de Louvain (UCLouvain),,,,,,,,,,,,,,,,,
Lupane State University,,,,,,,,,,,,,,,,,
ESEUNE,,,,,,,,,,,,,,,,,
Ibra College of Technology,,,,,,,,,,,,,,,,,
Dongyang Technical College ,,,,,,,,,,,,,,,,,
Altoosi University College,,,,,,,,,,,,,,,,,
Azerbaijan State Marine Academy,,,,,,,,,,,,,,,,,
Siberian State Medical University ,,,,,,,,,,,,,,,,,
Jan Kochanowski University in Kielce,,,,,,,,,,,,,,,,,
Saratov State Agrarian University,,,,,,,,,,,,,,,,,
School of Economics and management,,,,,,,,,,,,,,,,,
Changwon National University ,,,,,,,,,,,,,,,,,
Almaty Technological University,,,,,,,,,,,,,,,,,
Accademia Nazionale di Santa Cecilia,,,,,,,,,,,,,,,,,
University of Texas at San Antonio,,,,,,,,,,,,,,,,,
Khadim Ali Shah Bukhari Institute of Technology ,,,,,,,,,,,,,,,,,
Aydın Adnan Menderes Üniversitesi,,,,,,,,,,,,,,,,,
Toraighyrov University,,,,,,,,,,,,,,,,,
GC University Faisalabad,,,,,,,,,,,,,,,,,
Gwangju Institute of Science and Technology (GIST),,,,,,,,,,,,,,,,,
Foreign Trade University,,,,,,,,,,,,,,,,,
Universidad Sergio Arboleda,,,,,,,,,,,,,,,,,
