University,GMAT,GRE,GPA,IELTS,TOEFL,SAT,ATAR,Own admission test,PTE Academic,Cambridge CAE Advanced,International Baccalaureate,Bachelor GPA,ACT,Year 12 scores,A-levels,CAT,LSAT
Key West University,,,,,,,,,,,,,,,,,
University of London - International Programmes,,,,,,,,,,,,,,,,,
University of Ibb,,,,,,,,,,,,,,,,,
Universidad Nacional de San Antonio Abad del Cusco,,,,,,,,,,,,,,,,,
Bandung Institute of Technology (ITB),,,,,,,,,,,,,,,,,
University of Aberdeen,600+,,3+,6+,78+,1250+,,,,,,,,,,,
University of Buraimi,,,,,5+,,,,,,,2+,,70+,,,
EURECOM,,,,,,,,,,,,,,,,,
IFP School,,,,,,,,,,,,,,,,,
tt1,,,,,,,,,,,,,,,,,
Euncet Business School - UPC,,,,,,,,,,,,,,,,,
ADA University,,,,,,,,,,,,,,,,,
Saint Joseph's College-New York,,,,,,,,,,,,,,,,,
ESC Clermont Graduate School of Management,,,,,,,,,,,,,,,,,
Pontificia Universidad Católica Madre y Maestra (PUCMM),,,,,,,,,,,,,,,,,
Razi University,,,,,,,,12+,,,,12+,,12+,,,
Eurasia International University,,,,,,,,,,,,,,,,,
University of Ljubljana,,,,,,,,,,,,,,,,,
Musashi University,,,,,,,,,,,,,,,,,
University of Belgrade,,,,,,,,,,,,,,,,,
Tomsk State Pedagogical University,,,,,,,,,,,,,,,,,
Pakistan Institute of Engineering and Applied Sciences (PIEAS),,,,,,,,,,,,,,,,,
Manhattan College,,,,,,,,,,,,,,,,,
OU Business School,,,,,,,,,,,,,,,,,
Mediterranean School of Business- MSB,,,,,,,,,,,,,,,,,
The Women University Multan,,,,,,,,,,,,,,,,,
Universidad Iberoamericana Puebla,,,,,,,,,,,,,,,,,
Technische Universität Dresden,,,,,,,,,,,,,,,,,
Richard A. Chaifetz School of Business,,,,,,,,,,,,,,,,,
Universidade Federal de Santa Maria,,,,,,,,,,,,,,,,,
ESIC Business & Marketing School,,,,5.5+,72+,,,,,160+,,,,,,,
"DCU Business School, Dublin City University (DCU)",,,,,,,,,,,,,,,,,
Universidad Católica Santa María la Antigua-USMA,,,,,,,,,,,,,,,,,
Université d'Oran 2 - Mohamed Ben Ahmed,,,,,,,,,,,,,,,,,
Escuela Europea de Negocios,,,,,,,,,,,,,,,,,
"Gauhati University, Guwahati",200+,260+,,5+,90+,400+,,30+,,,,,,,,,
Albright College,,,,,,,,,,,,,,,,,
V. N. Karazin Kharkiv National University,,,,,,,,,,,,,,,,,
Universidad de Cienfuegos Carlos Rafael Rodríguez,,,,,,,,,,,,,,,,,
Universidade Vila Velha,,,,,,,,,,,,,,,,,
Kyungsung University ,,,,5+,71+,,,,,,,2+,,,,,
Vasyl Stus Donetsk National University,,,,,,,,,,,,,,,,,
University of Applied Sciences of Southern Switzerland,,,,,,,,,,,,,,,,,
"University of the Immaculate Conception,",,,,,,,,,,,,,,,,,
Howard University ,,,,,,,,,,,,,,,,,
Industrial University of Ho Chi Minh City (IUH),,,,,,,,,,,,,,,,,
Yerevan State University,,,,,,,,,,,,,,,,,
North Dakota State University,,,,,,,,,,,,,,,,,
Occidental College,,,,,,,,,,,,,,,,,
Universidad Juàrez del Estado de Durango (UJED),,,,,,,,,,,,,,,,,
Universidad Catolica Boliviana San Pablo,,,,,,,,,,,,,,,,,
Instituto Tecnológico de Santo Domingo (INTEC),,,,,,,,,,,,,,,,,
College of the Holy Cross,,,,,,,,,,,,,,,,,
New York Film Academy,,,,,,,,,,,,,,,,,
Porto Business School,,,,,,,,,,,,,,,,,
Universidad Santiago De Cali ,,,,,,,,,,,,,,,,,
"Sup Biotech, Paris",,,,,,,,,,,,,,,,,
School of Business and Management,,,,,,,,,,,,,,,,,
Indian Institute of Technology Bombay (IITB),,,,,,,,,,,,,,,,,
Warsaw University of Life Sciences  SGGW (WULS-SGGW),,,,,,,,,,,,,,,,,
Universidad Para La Paz,,,,,,,,,,,,,,,,,
Gulf University,,,,,,,,,,,,,,,,,
Universidad Autónoma de Coahuila (UAdeC),,,,,500+,,,,,,,8+,,,,,
MIT Art Design and Technology University,,,,,,,,50+,,,,,,,,,
College of Engineering,,,,,,,,,,,,,,,,,
"Columbia University, School of International and Public Affairs (SIPA)",,,,,,,,,,,,,,,,,
California State University - Fresno,,,,,,,,,,,,,,,,,
Graduate School of Education,,,,,,,,,,,,,,,,,
Pacifico Business School,,,,,,,,,,,,,,,,,
École Normale Supérieure Lettres et Sciences Humaines,,,,,,,,,,,,,,,,,
Universidad Cooperativa de Colombia,,,,,,,,,,,,,,,,,
Yonsei University,,,,,,,,,,,,,,,,,
Ahlia University,,,,,,,,,,,,,,,,,
Université Mohammed V - Souissi,,,,,,,,,,,,,,,,,
Mohammad Ali Jinnah University,,,,,,,,,,,,,,,,,
Fuji Women's University,,,,,,,,,,,,,,,,,
MSc TriContinent Global Supply Chain Management Program,,,,,,,,,,,,,,,,,
Universidad del Salvador,,,,,,,,,,,,,,,,,
Faculty of Human Sciences - Universidade Catolica Portuguesa,,,,,,,,,,,,,,,,,
Université Laval,710+,,3+,,,,,,,,,,,,,,
Universidad Autónoma de Chiriquí - UNACHI,,,,,,,,,,,,,,,,,
"Covenant University, Nigeria",,,,,,,,,,,,,,,,,
American Graduate School of Business,,,,,,,,,,,,,,,,,
VIA University College,,,,,,,,,,,,,,,,,
McAfee School of Business Administration,,,,,,,,,,,,,,,,,
Lund University School of Economics and Management,,,,,,,,,,,,,,,,,
School of Visual Arts (SVA),,,,,,,,,,,,,,,,,
Point Loma Nazarene University,,,,,,,,,,,,,,,,,
Universidad Arturo Prat ,,,,,,,,,,,,,,,,,
Air University Pakistan,,,,,,,,,,,,,,,,,
University of Fallujah,,,,,,,,,,,,,,,,,
Gordon Institute of Business Science - University of Pretoria,,,,,,,,,,,,,,,,,
Ahlia University,,,,,,,,,,,,,,,,,
Tanta University ,,,2+,,,,,,,,,2+,,,,,
Moravian University,,,,,,,,,,,,,,,,,
Suratthani Rajabhat University,,,2+,4+,450+,,,,,,,,,,,,
University of Zalingei,,,,,,,,,,,,,,,,,
Bauman Moscow State Technical University,,,,,,,,,,,,,,,,,
Keele University,580+,,3+,6+,,1200+,92+,,,,,,,,,,
Saint Augustine's University,,,,,,,,,,,,,,,,,
West Ukrainian National University,,,100+,,,,,,,,,60+,,,,,
Raffles College of Higher Education,,,,,,,,,,,,,,,,,
Emory University,570+,,3+,7+,100+,1420+,,,,,,,,,,,
Bates College,,,,,,,,,,,,,,,,,
Tony Parker Adéquat Academy,,,,,,,,,,,,,,,,,
Institut national des langues et civilisations orientales,,,,,,,,10+,,,25+,,,,,,
Kyoto Women's University,,,,,,,,,,,,,,,,,
Kyiv National University of Construction and Architecture (KNUCA),,,,,,,,100+,,,,,,,,,
DeVry University Orlando,,,,,,,,,,,,,,,,,
ITMO University,,,,,,,,,,,,,,,,,
SUNY Oswego,,,,,,,,,,,,,,,,,
Everglades University,,,,,,,,,,,,,,,,,
Campbell University,,,,,,,,,,,,,,,,,
Sulaiman Al Rajhi University,,,,,,,,,,,,,,,,,
Rutgers University School of Environmental and Biological Sciences,,,,,,,,,,,,,,,,,
Asfendiyarov Kazakh National Medical University,,,2+,,,,,,,,,,,,,,
Asia Pacific College of Business & Law,,,,,,,,,,,,,,,,,
Indian Institute of Technology Roorkee (IITR),,,,,,,,,,,,,,,,,
Valahia University of Targoviste,,,,,,,,5+,,,,,,,,,
Hiram College,,,,,,,,,,,,,,,,,
Marymount Manhattan College,,,,,,,,,,,,,,,,,
BEBS - Barcelona executive Business School,,,,,,,,,,,,,,,,,
Holy Spirit University of Kaslik ,,,,,,,,,,,,,,,,,
Singidunum University,,,,,,,,,,,,,,,,,
University of Phoenix,,,,,,,,,,,,,,,,,
Western Washington University ,,,,,,,,,,,,,,,,,
Beijing Forestry University,,,,,,,,,,,,,,,,,
Belarusian National Technical University (BNTU),,,,,,,,,,,,,,,,,
Oslo University College,,,,,,,,,,,,,,,,,
Kwangwoon University ,,,,,,,,,,,,,,,,,
California Polytechnic State University,,,,,,,,,,,,,,,,,
Bharathidasan University,,,,,,,,,,,,,,,,,
Indian Institute of Planning and Management (IIPM),,,,,,,,,,,,,,,,,
Universitas Kristen Satya Wacana - Satya Wacana Christian University,,,,,,,,,,,,,,,,,
University of Santo Tomas,,,,,,,,,,,,,,,,,
University of Indianapolis,,,,,,,,,,,,,,,,,
Universidad de los Andes - Chile,,,,,,,,,,,,,,,,,
Universidad Modelo,,,,,,,,,,,,,,,,,
HHL Leipzig Graduate School of Management,,,,,,,,,,,,,,,,,
Indiana University of Pennsylvania,,,,,,,,,,,,,,,,,
Escuela Superior de Administracion Pública (ESAP),,,,,,,,,,,,,,,,,
National Cheng Kung University (NCKU),,,,5+,69+,,,,,,,,,,,,
University of Basel,,,,,,,,,,,,,,,,,
GITAM University,,,,,,,,,,,,6+,,60+,60+,,
University of Salford,,300+,2+,6+,79+,1260+,80+,,,,,,,,,,
SeoKyeong University ,,,,,,,,,,,,,,,,,
Padang State Polytechnic,,,,,,,,,,,,,,,,,
Universitas Muhammadiyah Yogyakarta,,,,,,,,,,,,,,,,,
Southern New Hampshire University,,,,,,,,,,,,,,,,,
DePaul University,530+,,3+,6+,80+,1194+,,,,,,,,,,,
St. Ambrose University,,,,,,,,,,,,,,,,,
Urmia University,,,,,,,,,,,,,,,,,
Academy of Performing Arts in Prague,,,,,,,,,,,,,,,,,
Goethe-University Frankfurt am Main,,,,,,,,,,,,,,,,,
Universidad Americana (Costa Rica) (UAM),,,,,,,,,,,,,,,,,
Université de Montpellier,,,,,,,,,,,,,,,,,
Preston University Kohat,,,,,,,,,,,,,,,,,
Université catholique de Louvain (UCLouvain),,,,,,,,,,,,,,,,,
University of Minnesota Twin Cities,690+,,+,6+,79+,1220+,,,,,,,,,,,
Universidad de Málaga,,,,,,,,,,,,,,,,,
Fundació Politècnica de Catalunya,,,,,,,,,,,,,,,,,
Academy of Art University,,,,6.5+,79+,,,,,,,,,,,,
Bowdoin College,,,,,,,,,,,,,,,,,
Apex University,,,,,,,,,,,,,,,,,
Ted Rogers School of Management - Toronto Metropolitan University,,,,,,,,,,,,,,,,,
Taylor University,,,,,,,,,,,,,,,,,
Kristianstad University ,,,,,,,,,,,,,,,,,
Nusa Putra University,,,,6+,500+,,,80+,,,,3+,,80+,,,
University of East Anglia - Norwich Business School,550+,,3+,6+,79+,1010+,,,,,,,,,,,
"Fanhai International School of Finance, Fudan University",,,,,,,,,,,,,,,,,
Graduate School of Education,,,,,,,,,,,,,,,,,
University of Canberra,,,4+,6+,76+,1090+,,,,,,,,,,,
Haute Ecole d'art et de design de Genève (HEAD),,,,,,,,,,,,,,,,,
Universidade Federal do Maranhão,,,,,,,,,,,,,,,,,
Université Lille 2 Droit et Santé,,,,,,,,,,,,,,,,,
Government College University Lahore,,,,,,,,,,,,,,500+,1+,,
Transylvania University,,,,,,,,,,,,,,,,,
Universidade Luterana do Brasil ,,,,,,,,,,,,,,,,,
South Kazakhstan State Pedagogical University,,,,,,,,,,,,,,,,,
Alfred University,,,,,,,,,,,,,,,,,
University of Laghouat,,,,,,,,,,,,,,,,,
School of Visual Arts (SVA),,,,,,,,,,,,,,,,,
Universität der Künste Berlin,,,,,,,,,,,,,,,,,
University ,,,,,,,,,,,,,,,,,
UQ Business School,,,,,,,,,,,,,,,,,
Universidad Autónoma del Estado de México (UAEMex),,,,,,,,,,,,,,,,,
Novancia Business School Paris,,,,,,,,,,,,,,,,,
Technological University Dublin,,,,,,,,,,,,,,,,,
Pacifico Business School,,,,,,,,,,,,,,,,,
Hong Kong Academy for Performing Arts,,,,,,,,,,,,,,,,,
National University of Music Bucharest,,,,,,,,,,,,,,,,,
University of Karachi,,,,,,,,,,,,,,,,,
Southern New Hampshire University,,,,,,,,,,,,,,,,,
Damietta University,,,,,300+,,,,,,,,,,,,
Arab American University,,,,,,,,,,,,,,,,,
University of the Basque Country,,,,,,,,,,,,,,,,,
China University of Political Science and Law,,,,,,,,,,,,,,,,,
School of Visual Arts (SVA),,,,,,,,,,,,,,,,,
Haute école de musique de Genève,,,,,,,,,,,,,,,,,
Wayne State University,530+,300+,2+,6+,79+,1060+,,,,,,,,,,,
Université de Pau et des Pays de l'Adour,,,,,,,,,,,,,,,,,
Siberian State Medical University ,,,,,,,,,,,,,,,,,
Fundacion Universitaria del Area Andina- AREANDINA,,,,,,,,,,,,,,,,,
Universidade Federal do Espírito Santo,,,,,,,,,,,,,,,,,
Saint-Petersburg State University of Economics,,,,,,,,,,,,,,,,,
École Nationale Supérieure de Chimie de Rennes,,,,,,,,,,,,,,,,,
Whistling Woods International,,,,,,,,,,,,,,,,,
ESCUELA SUPERIOR DE IMAGEN Y SONIDO CES,,,,,,,,,,,,,,,,,
"The Princeton Review - Scoreplus, Middle East",,,,,,,,,,,,,,,,,
Beijing Film Academy,,,,,,,,,,,,,,,,,
The Hang Seng University of Hong Kong,,,,,,,,,,,,,,,,,
Tameside College,,,,,,,,,,,,,,,,,
"Institut d'Optique, ParisTech",,,,,,,,,,,,,,,,,
University of Buckingham,,,,,,,,,,,,,,,,,
Tishk International University,,,,,,,,,,,,,,,,,
Academy of Fine Arts in Warsaw,,,,,,,,,,,,,,,,,
Indian Institute of Management (IIM) - Kozhikode,,,,,,,,,,,,,,,,,
Université Claude Bernard Lyon 1,,,,,,,,,,,,,,,,,
Concordia College at Moorhead,,,,,,,,,,,,,,,,,
University of Iowa,520+,310+,3+,6+,80+,1220+,,,,,,,,,,,
Lawrence Technological University,,,,,,,,,,,,,,,,,
Barnard College,,,,,,,,,,,,,,,,,
Edinburgh Business School,600+,,2+,,,,,,,,,,,,,,
"Royal Academy of Art, The Hague (KABK)",,,,,,,,,,,,,,,,,
University of Alaska Fairbanks,,,,,,,,,,,,,,,,,
"Tel Aviv University - International, School of Engineering",,,,,,,,,,,,,,,,,
Khoja Akhmet Yassawi International Kazakh-Turkish University,,,,,,,,,,,,,,,,,
Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,,,,,,,,,,,,,,,,,
University of Information Technology and Communications,,,,,,,,,,,,,,,,,
Bunda Mulia University,,,,,,,,,,,,,,,,,
Karakoram International University,,,,,,,,,,,,,,,,,
Universidad del CEMA,,,,,,,,,,,,,,,,,
UNIVERSITI TEKNIKAL MALAYSIA MELAKA,,,,,,,,,,,,,,,,,
Weizmann Institute of Science,,,,,,,,,,,,,,,,,
Ecole Centrale de Marseille,,,,,,,,,,,,,,,,,
English Business Services,,,,,,,,,,,,,,,,,
Conservatoire de Musique et d'Art Dramatique du Québec,,,,,,,,,,,,,,,,,
Moscow Information Technology University,,,,,,,,,,,,,,,,,
Bandung Institute of Technology (ITB),,,,,,,,,,,,,,,,,
Ibn Tofail University,,,,,,,,,,,,,,,,,
Study in Sweden,,,,,,,,,,,,,,,,,
Roanoke College,,,,,,,,,,,,,,,,,
Kansas State University ,,,2+,6+,79+,1060+,,,,,,,,,,,
Icahn School of Medicine at Mount Sinai ,,,,,,,,,,,,,,,,,
Sogang University,,,,,,,,,,,,,,,,,
Ryazan State Radio Engineering University ( RSREU ),,,,,,,,,,,,,,,,,
Tokyo University of Science,,,,,,,,,,,,,,,,,
University of Cyberjaya,,,,,,,,,,,,,,,,,
Anton de Kom Universitiet van Suriname,,,,,,,,,,,,,,,,,
National Institute of Technology Rourkela,,,,,,,,,,,,,,,,,
Saxion University of Applied Sciences,,,,,,,,,,,,,,,,,
Tecnológico de Costa Rica -TEC,,,,,,,,,,,,,,,,,
McGeorge School of Law,,,,,,,,,,,,,,,,,
International Business Academy of Switzerland (IBAS),,,,,,,,,,,,,,,,,
Trinity University,,,,,,,,,,,,,,,,,
Art Center College of Design,,,,,,,,,,,,,,,,,
Tomas Bata University in Zlin,,,,,,,,,,,,,,,,,
Corvinus University of Budapest,,,,,,,,,,,,,,,,,
Universidade Estadual do Oeste do Paraná,,,,,,,,,,,,,,,,,
University of the South Pacific,,,,,,,,,,,,,,,,,
Namik Kemal University ,,,,,,,,,,,,,,,,,
"University of California, Irvine ",,,,,,,,,,,,,,,,,
Khazar University,,,,,,,,,,,,,,,,,
Messiah College,,,,,,,,,,,,,,,,,
Colorado School of Mines,,,2+,,,1400+,,,,,,,,,,,
"Royal Free and University College Medical School, University of London",,,,,,,,,,,,,,,,,
Misurata University,,,,,,,,,,,,,,,,,
University of Cologne,,,,,,,,,,,,,,,,,
University of Utah,600+,307+,3+,6+,80+,1110+,,,,,,,,,,,
Universidade de Santiago de Compostela,,,,,,,,,,,,,,,,,
Hokkaido University,,,,,,,,,,,,,,,,,
Hungarian University of Fine Arts,,,,,,,,,,,,,,,,,
Knox College,,,,,,,,,,,,,,,,,
"West End College, London",,,,,,,,,,,,,,,,,
The Josip Juraj Strossmayer University of Osijek,,,,,,,,,,,,,,,,,
Palangka Raya University,,,,,,,,,,,,,,,,,
Universidade Veiga de Almeida,,,,,,,,,,,,,,,,,
RCSI Medical University of Bahrain,,,,,,,,,,,,,,,,,
Indian Institute of Technology Mandi,,,,,,,,,,,,,,,,,
École Nationale Supérieure d'Agronomie et des Industries Alimentaires (ENSAIA),,,,,,,,,,,,,,,,,
Anton de Kom Universitiet van Suriname,,,,,,,,,,,,,,,,,
Vidyavardhaka College of Engineering (VVCE),,,,,,,,,,,,,,,,,
Universitas Syiah Kuala,,,,,,,,,,,,,,,,,
"ENSC, Bordeaux",,,,,,,,,,,,,,,,,
Université d'Avignon et des Pays du Vaucluse,,,,,,,,,,,,,,,,,
Universiti Malaysia Kelantan,,,,,,,,,,,,,,,,,
Northwest Agriculture and Forestry University,,,,,,,,,,,,,,,,,
Qassim University,,,,,,,,,,,,,,,,,
Hogeschool voor Wetenschap & Kunst (W&K),,,,,,,,,,,,,,,,,
Wesley College,,,,,,,,,,,,,,,,,
Sechenov University,,,2+,,,,,,,,24+,,,,,,
Université de Versailles Saint-Quentin-en-Yvelines (UVSQ),,,,,,,,,,,,,,,,,
Medical University of Gdańsk,,,,,,,,,,,,,,,,,
University of Cumbria,580+,,3+,6+,,,,,,,,,,,,,
Spelman College,,,,,,,,,,,,,,,,,
Gachon University,,,,,,,,,,,,,,,,,
Indian Institute of Technology Hyderabad (IITH),,,,,,,,,,,,,,,,,
Royal College of Music,,,,,,,,,,,,,,,,,
University Center of Illizi,,,,,,,,,,,,,,,,,
Himachal Pradesh University,,,,,,,,,,,,,,,,,
"University of California, Hastings College of Law",,,,,,,,,,,,,,,,,
Jeonbuk National University,,,,,,,,,,,,,,,,,
Universidad Mayor de San Francisco Xavier,,,,,,,,,,,,,,,,,
Universidad Argentina John F. Kennedy,,,,,,,,,,,,,,,,,
Universidad Antonio Narino ,,,,,,,,,,,,,,,,,
International European University,,,,,,,,,,,,,,,,,
Accademia Teatro alla Scala,,,,,,,,,,,,,,,,,
University College Cork,,,,,,,,,,,,,,,,,
SUAN SUNANDHA RAJABHAT UNIVERSITY,,,,,,,,,,,,,,,,,
University of Southern Mississippi,,,,,,,,,,,,,,,,,
Atria University,,,,,,,,,,,,,,,,,
University of Evansville,,,,,,,,,,,,,,,,,
University of Basrah,,,,,,,,,,,,,,,,,
Karshi State University,,,,5+,,,,70+,,,,,,,,,
Hochschule Fresenius,,,,,,,,,,,,,,,,,
Non-profit joint-stock company Shakarim University,,,,,,,,,,,,2+,,9+,,,
Université de Cergy-Pontoise,,,,,,,,,,,,,,,,,
Screen Academy Scotland,,,,,,,,,,,,,,,,,
Mariano Marcos State University,,,,,,,,,,,,,,,,,
Hampton University,,,,,,,,,,,,,,,,,
Tashkent State University of Law,,,,,,,,57+,,,,,,,,,
University of the West of Scotland,580+,,3+,6+,78+,1100+,,,,,,,,,,,
University of Mississippi,550+,,2+,6+,70+,1070+,,,,,,,,,,,
Trinity College of Music,,,,,,,,,,,,,,,,,
Paul Valéry University Montpellier,,,,,,,,,,,,,,,,,
Universitas Pembangunan Nasional ,,,,,,,,590+,,,,3+,,590+,,,
Universidade Federal de Alagoas ,,,,,,,,,,,,,,,,,
Chaoyang University of Technology ,,,,,,,,,,,,,,,,,
Laurentian University,,,,,,,,,,,,,,,,,
Florida Agricultural and Mechanical University,,,,,,,,,,,,,,,,,
Sabaragamuwa University of Sri Lanka ,,,,,,,,,,,,,,,,,
Universidad Privada del Norte,,,,,,,,,,,,,,,,,
Renmin (People's) University of China,,,,,,,,,,,,,,,,,
Technische Universität Chemnitz,,,,,,,,,,,,,,,,,
New Design University ,,,,,,,,,,,,,,,,,
Université de Limoges,,,,,,,,,,,,,,,,,
Kasetsart University,,,,,,,,,,,,,,,,,
Russian Institute of Theatre Arts  (GITIS),,,,,,,,,,,,,,,,,
Saint-Petersburg State University of Engineering and Economics,,,,,,,,,,,,,,,,,
École Centrale de Lyon,,,,,,,,,,,,,,,,,
OSMANIA UNIVERSITY,,,,,,,,,,,,,,,,,
Växjö University,,,,,,,,,,,,,,,,,
Gotland University,,,,,,,,,,,,,,,,,
JCA London Fashion Academy,,,,,,,,,,,,,,,,,
Sarah Lawrence University,,,,,,,,,,,,,,,,,
University of Maribor,,,,,,,,,,,,,,,,,
Graduate School of Business Administration Zurich,,,,,,,,,,,,,,,,,
Salisbury University,,,,,,,,,,,,,,,,,
Universidad de Ciencias y Artes de Chiapas,,,,,,,,,,,,,,,,,
Universidade Estadual de Montes Claros ,,,,,,,,,,,,,,,,,
Yury Gagarin State Technical University of Saratov,,,,,,,,,,,,,,,,,
Fuji Women's University,,,,,,,,,,,,,,,,,
Bryansk State Technical University (BSTU),,,,,,,,,,,,,,,,,
Universidad del Viña del Mar,,,,,,,,,,,,,,,,,
Bandung Polytechnic for Manufacturing,,,,,,,,,,,,,,,,,
Universidade Federal de Goiás,,,,,,,,,,,,,,,,,
Newberry College,,,,,,,,,,,,,,,,,
Leiden University College The Hague (LUC The Hague),,,,6+,80+,,,,,180+,,,,,,,
Indian Institute of Technology Patna,,,,,,,,,,,,,,,,,
BSE Institute,,,,,,,,,,,,,,,,,
"University of Illinois, Springfield (UIS)",,,,,,,,,,,,,,,,,
University of Science and Technology of China,,,,,,,,,,,,,,,,,
Qatar University,,,,,,,,,,,,,,,,,
Institut Catholique de Toulouse (ICT),,,,,,,,,,,,,,,,,
University of York,580+,,2.8+,6.5+,87+,1200+,85+,,,,,,,,,,
Asahikawa Medical University,,,,,,,,,,,,,,,,,
Kellstadt Graduate School of Business,,,,,,,,,,,,,,,,,
Tunku Abdul Rahman University of Management and Technology (TAR UMT),,,,4+,,,,,,,,2.5+,,,,,
"Graduate Programs, Faculty of Business",,,,,,,,,,,,,,,,,
University of New Brunswick,550+,305+,3+,6.5+,85+,1100+,,,,,,,,,,,
Universität Hamburg,,,2+,6+,84+,,,,,,30+,,,,,,
Universita' degli Studi di Sassari,,,,,,,,,,,,,,,,,
ESG Formation Continue,,,,,,,,,,,,,,,,,
Lahore School of Economics,,,,,,,,,,,,,,,,,
Habib University,,,,,,,,,,,,,,,,,
Middle Technical University,,,,,,,,,,,,,,,,,
O.P. Jindal Global University,450+,295+,2+,6+,80+,1100+,,0+,,,24+,,27+,50+,,0+,0+
Volda University College,,,,,,,,,,,,,,,,,
Universität Potsdam,,,,,,,,,,,,,,,,,
"Nanyang Business School, Singapore",,,,,,,,,,,,,,,,,
University of Suwon ,,,,,,,,,,,,,,,,,
Claremont Mckenna College,,,,,,,,,,,,,,,,,
North-West University,,,,,,,,,,,,,,,,,
Old Dominion University,,,,,,,,,,,,,,,,,
Vinnytsia National Pirogov Memorial Medical University,,,,,,,,,,,,,,,,,
The CalArts School of Film and Video,,,,,,,,,,,,,,,,,
Beirut Arab University ,,,,,,,,,,,,,,,,,
South Ural State University (National Research University),,,,6+,80+,,,,,,,,,,,,
Youngsan University,,,,,,,,,,,,,,,,,
Waseda University,,,,,,,,,,,,,,,,,
King Mongkut's University of Technology Thonburi ,,,,,,,,,,,,,,,,,
Harvard Business School,,,3+,,,,,,,,,,,,,,
Universidad Católica de El Salvador,,,,,,,,,,,,,,,,,
École Supérieure du Soudage et de Ses Applications (ESSA),,,,,,,,,,,,,,,,,
Marshall School of Business,680+,316+,3+,7+,100+,1400+,,,,,,,,,,,
Rider University,,,,,,,,,,,,,,,,,
The University of Texas at Austin - McCombs School of Business,580+,303+,3+,6+,79+,1150+,,,,,,,,,,,
Universidad INCE (Instituto Nacional de Ciencias Exactas),,,,,,,,,,,,,,,,,
INSEEC Sup de Pub,,,,,,,,,,,,,,,,,
Electronics Engineering Polytechnic Institute of Surabaya,,,,,,,,,,,,,,,,,
Technological Education Institute of Kalamata,,,,,,,,,,,,,,,,,
"Carnegie Mellon University – Heinz College of Information Systems, Public Policy and Management ",,,,,,,,,,,,,,,,,
Université de Bretagne Occidentale ,,,,,,,,,,,,,,,,,
Molde University College,,,,,,,,,,,,,,,,,
Southern New Hampshire University,,,,,,,,,,,,,,,,,
Armavir State Pedagogical University,,,,,,,,,,,,,,,,,
Higher School of Economics,,,,5+,60+,,,0+,,,4+,,,,,,
Doshisha University,,,,,,,,,,,,,,,,,
Keck Graduate Institute of Applied Life Sciences,,,,,,,,,,,,,,,,,
Lincoln University - California,,,,,,,,,,,,,,,,,
Graduate School of Education,,,,,,,,,,,,,,,,,
Szechenyi Istvan University (University of Gyor),,,,,,,,,,,,,,,,,
ESIC Business & Marketing School,,,,5.5+,72+,,,,,160+,,,,,,,
Mercer University,,,,,,,,,,,,,,,,,
Universidad Norbert Wiener,,,,,,,,40+,,,,,,,,,
University of Calgary,,,3+,6+,86+,,,,,,,,,,,,
Far East University,,,,,,,,,,,,,,,,,
Saurashtra University,,,,,,,,,,,,,,,,,
RMIT International University Vietnam,,,,,,,,,,,,,,,,,
Kristianstad University ,,,,,,,,,,,,,,,,,
University of Rzeszów,,,,,,,,,,,,,,,,,
Taiyuan University of Technology,,,,,,,,,,,,,,,,,
Universidad César Vallejo,,,,,,,,,,,,,,,,,
University of Foggia,,,,,,,,12+,,,,,,,,,
University of Wroclaw,,,,,,,,,,,,,,,,,
University of York,580+,,2.8+,6.5+,87+,1200+,85+,,,,,,,,,,
Portucalense University,,,,,,,,,,,,,,,,,
Universidad Tecnológica Centroamericana (UNITEC),,,,,,,,,,,,,,,,,
"École Supérieure de Commerce, ESC Troyes",,,,,,,,,,,,,,,,,
Palacký University Olomouc,,,,,,,,,,,,,,,,,
"Balochistan University of Information Technology, Engineering and Management Sciences  (BUITEMS)",,,,,,,,,,,,,,,,,
Universidad Mayor,,,,,,,,,,,,,,,,,
Gheorghe Dima Music Academy,,,,,,,,,,,,,,,,,
School of Law,,,,,,,,,,,,,,,,,
Institut National Polytechnique de Lorraine,,,,,,,,,,,,,,,,,
Indian Institute of Technology Madras (IITM),,,,,,,,,,,,,,,,,
University of Information Technology and Communications,,,,,,,,,,,,,,,,,
Jönköping International Business School,,,,,,,,,,,,,,,,,
Université de Valenciennes et du Hainaut-Cambrésis ,,,,,,,,,,,,,,,,,
Universidad Bernardo O'Higgins,,,,,,,,,,,,,,,,,
University of Notre Dame,690+,,+,7+,100+,1410+,,,,,,,,,,,
Johnson & Wales University,,,,,,,,,,,,,,,,,
Tamil Nadu Agricultural University,,,,,,,,,,,,,,,,,
MARI STATE UNIVERSITY,,,,,,,,,,,,,,,,,
Albion College,,,,,,,,,,,,,,,,,
University Mozarteum Salzburg,,,,,,,,,,,,,,,,,
National Ilan University,,,,,,,,,,,,,,,,,
Habib University,,,,,,,,,,,,,,,,,
Indian Institute of Technology Delhi (IITD),,,,,,,,,,,,,,,,,
Mississippi University for Women,,,,,,,,,,,,,,,,,
"College of Islamic and Arabic Studies, Dubai",,,,,,,,,,,,,,,,,
China University of Geosciences (Beijing),,,,,,,,,,,,,,,,,
Shenzhen University,,,,,,,,,,,,,,,,,
